time,SimNetwork.a.parkingLot.parkingOccupancy:vector
308075.225019512448,1
309545.738927808707,0
309714.229672561249,1
311573.601046271632,0
312348.230050957116,1
314209.133366951959,0
315433.998715302634,1
317320.958443151976,0
317531.882189441687,1
318626.138466012726,2
319344.105065297089,1
320425.948974688897,0
324204.35226284175,1
324943.805386785284,2
325306.998777644174,3
325647.271201594894,4
325988.427668651593,3
326235.020302609164,4
326604.075631783506,3
327084.121171495426,2
327268.029181491107,1
327716.806692075101,2
328279.659253540809,1
328847.414356376226,2
329137.781076853271,3
329385.998254411815,2
329428.329062301385,3
330632.674973566113,2
330759.283541837242,1
331269.628331556806,0
331862.915666791404,1
333398.113724397816,0
333733.892256083691,1
334127.835355312429,2
335479.171083292599,3
335792.420287186924,2
335967.010250842859,1
337259.027997576125,0
339322.075402933382,1
341307.48228381423,0
346365.31118852424,1
346703.733766666101,2
347243.399728385772,3
347918.758672722902,2
348732.354022033004,1
349016.741169970357,0
353194.177487744812,1
353749.886942056106,2
355138.962907655674,1
355465.369310723341,0
359957.050026434857,1
361441.466741971088,0
372136.126228834517,1
374087.384698108334,0
376548.701459265208,1
378635.352279653896,2
378688.251326367087,1
379765.000585678985,2
380212.689983906869,1
381803.628183739835,0
381986.612638563699,1
383931.005977519042,0
384190.668102533567,1
385210.750909702001,2
385652.31310270769,1
386613.834426234445,0
390338.942975305163,1
391679.769463243813,2
392485.288173546778,1
393223.54063277847,0
394272.94975298746,1
395090.533252899385,2
396119.868746076745,1
397068.496305321198,0
400882.436994270479,1
402351.822440680263,0
404510.467964989086,1
406023.959664707576,2
406433.453425102487,1
407513.593224545324,0
409392.394837409758,1
410875.321019652789,0
417232.449491499044,1
418780.069817766388,0
428403.995262719547,1
430264.159144657694,0
432150.369824883978,1
433466.913113406477,2
434071.191338401206,1
435369.437050338264,0
442843.661805534616,1
444803.773301237022,0
446177.082129084751,1
447726.595065663787,0
450625.026962041704,1
452412.8701017419,2
452582.733734369185,1
452791.738527106735,2
454370.826428292064,1
454485.577570750493,0
465276.555602507899,1
467231.373515856404,0
471399.894721254749,1
473315.131295712693,0
474786.473022745482,1
476274.006754964968,0
480696.851888036064,1
482210.753696819287,0
484078.626472202276,1
484514.23934067591,2
485893.229026319961,1
486426.538678956654,0
486501.751411592607,1
488296.864274534904,2
488304.336304435789,1
489960.722431167111,0
490789.101708761945,1
491618.80171529805,2
492477.919075426059,1
493496.613671451247,0
496050.094818496148,1
498003.062170547364,0
501668.151856344987,1
503493.707971704879,0
505741.614042336225,1
506728.182956326322,2
507008.399705068987,3
507523.974706362275,2
508383.754907516836,1
508844.708114269042,0
514363.724732644373,1
516140.779276654233,0
518101.4814997256,1
520107.305983277108,2
520230.53450196306,1
521954.697110105428,0
523806.002049056075,1
525375.532329909034,2
525418.811929768524,1
526868.49852881006,2
527118.597668069885,3
527154.704216012696,2
528763.508696000239,1
528916.378450643438,0
531235.221334969897,1
531548.949503662674,2
532971.331750368274,1
533502.38069373362,0
540148.456039024152,1
541995.47472080448,0
542013.298102361642,1
542278.372186686709,2
543781.904860146723,1
543892.014201121072,0
548940.884027301176,1
550587.715611010504,0
551195.199906503174,1
